red	207	32	46	#cf202e	available
dark_grey	35	33	33	#232121	unknown,Undetermined,Unknown
light_grey	226	226	226	#e2e2e2	Overlapping_annotations
orange	247	136	34	#f78822	available
yellow	246	219	53	#f6db35	MITE
chartreuse	168	198	58	#a8c63a	available
green	109	192	103	#6dc067	available
teal	47	167	160	#2fa7a0	available
blue	65	133	190	#4185be	LTR
navy	30	58	95	#1e3a5f	DNA
purple	143	73	156	#8f499c	Low_complexity
pink	212	85	146	#ff2e8c	Simple_repeat
dark_purple	36	12	45	#240c2d	available
dark_blue	56	92	233	#385ce9	available
light_blue	60	200	203	#3cc8cb	LINE
light_green	201	232	42	#c9e82a	available
light_green2	201	232	42	#74e064	SINE
