Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_943734735.2	Primary Assembly	X	12732661	45.5	OX030909.1	Chromosome	NC_064600.1	assembled-molecule	28097889		161	X
GCF_943734735.2	Primary Assembly	2	52891247	44.5	OX030907.1	Chromosome	NC_064601.1	assembled-molecule	118196952			2RL
GCF_943734735.2	Primary Assembly	3	43416187	44	OX030908.1	Chromosome	NC_064602.1	assembled-molecule	99149756			3RL
GCF_943734735.2	Primary Assembly	X			CALSDY020000001.1	Chromosome	NW_026902553.1	unlocalized-scaffold	2164118		161	X_unloc_1
GCF_943734735.2	Primary Assembly	X			CALSDY020000002.1	Chromosome	NW_026902626.1	unlocalized-scaffold	657391		161	X_unloc_2
GCF_943734735.2	Primary Assembly	X			CALSDY020000003.1	Chromosome	NW_026902637.1	unlocalized-scaffold	569462		161	X_unloc_3
GCF_943734735.2	Primary Assembly	X			CALSDY020000004.1	Chromosome	NW_026902648.1	unlocalized-scaffold	387890		161	X_unloc_4
GCF_943734735.2	Primary Assembly	X			CALSDY020000005.1	Chromosome	NW_026902659.1	unlocalized-scaffold	276960		161	X_unloc_5
GCF_943734735.2	Primary Assembly	X			CALSDY020000006.1	Chromosome	NW_026902670.1	unlocalized-scaffold	219387		161	X_unloc_6
GCF_943734735.2	Primary Assembly	X			CALSDY020000007.1	Chromosome	NW_026902681.1	unlocalized-scaffold	187995		161	X_unloc_7
GCF_943734735.2	Primary Assembly	X			CALSDY020000008.1	Chromosome	NW_026902692.1	unlocalized-scaffold	187637		161	X_unloc_8
GCF_943734735.2	Primary Assembly	X			CALSDY020000009.1	Chromosome	NW_026902703.1	unlocalized-scaffold	168435		161	X_unloc_9
GCF_943734735.2	Primary Assembly	X			CALSDY020000010.1	Chromosome	NW_026902554.1	unlocalized-scaffold	164687		161	X_unloc_10
GCF_943734735.2	Primary Assembly	X			CALSDY020000011.1	Chromosome	NW_026902565.1	unlocalized-scaffold	154153		161	X_unloc_11
GCF_943734735.2	Primary Assembly	X			CALSDY020000012.1	Chromosome	NW_026902576.1	unlocalized-scaffold	123972		161	X_unloc_12
GCF_943734735.2	Primary Assembly	X			CALSDY020000013.1	Chromosome	NW_026902587.1	unlocalized-scaffold	121854		161	X_unloc_13
GCF_943734735.2	Primary Assembly	X			CALSDY020000014.1	Chromosome	NW_026902598.1	unlocalized-scaffold	111972		161	X_unloc_14
GCF_943734735.2	Primary Assembly	X			CALSDY020000015.1	Chromosome	NW_026902609.1	unlocalized-scaffold	101726		161	X_unloc_15
GCF_943734735.2	Primary Assembly	X			CALSDY020000016.1	Chromosome	NW_026902620.1	unlocalized-scaffold	101719		161	X_unloc_16
GCF_943734735.2	Primary Assembly	X			CALSDY020000017.1	Chromosome	NW_026902623.1	unlocalized-scaffold	100994		161	X_unloc_17
GCF_943734735.2	Primary Assembly	X			CALSDY020000018.1	Chromosome	NW_026902624.1	unlocalized-scaffold	99177		161	X_unloc_18
GCF_943734735.2	Primary Assembly	X			CALSDY020000019.1	Chromosome	NW_026902625.1	unlocalized-scaffold	96204		161	X_unloc_19
GCF_943734735.2	Primary Assembly	X			CALSDY020000020.1	Chromosome	NW_026902627.1	unlocalized-scaffold	95944		161	X_unloc_20
GCF_943734735.2	Primary Assembly	X			CALSDY020000021.1	Chromosome	NW_026902628.1	unlocalized-scaffold	87820		161	X_unloc_21
GCF_943734735.2	Primary Assembly	X			CALSDY020000022.1	Chromosome	NW_026902629.1	unlocalized-scaffold	87085		161	X_unloc_22
GCF_943734735.2	Primary Assembly	X			CALSDY020000023.1	Chromosome	NW_026902630.1	unlocalized-scaffold	81098		161	X_unloc_23
GCF_943734735.2	Primary Assembly	X			CALSDY020000024.1	Chromosome	NW_026902631.1	unlocalized-scaffold	80938		161	X_unloc_24
GCF_943734735.2	Primary Assembly	X			CALSDY020000025.1	Chromosome	NW_026902632.1	unlocalized-scaffold	79180		161	X_unloc_25
GCF_943734735.2	Primary Assembly	X			CALSDY020000026.1	Chromosome	NW_026902633.1	unlocalized-scaffold	77200		161	X_unloc_26
GCF_943734735.2	Primary Assembly	X			CALSDY020000027.1	Chromosome	NW_026902634.1	unlocalized-scaffold	76972		161	X_unloc_27
