chr	start	end	name	itemRgb
OX030909.1	0	100000	gc1-0.4427190332326284	#fee18d
OX030909.1	100000	200000	gc2-0.47099	#fff0a6
OX030909.1	200000	300000	gc3-0.46971	#fff0a6
OX030909.1	300000	400000	gc4-0.47541	#fff2aa
OX030909.1	400000	500000	gc5-0.51386	#fafdb7
OX030909.1	500000	600000	gc6-0.49673	#fffdbc
OX030909.1	600000	700000	gc7-0.49792	#fffebe
OX030909.1	700000	800000	gc8-0.49851	#fffebe
OX030909.1	800000	900000	gc9-0.50409	#fefebd
OX030909.1	900000	1000000	gc10-0.49578	#fffdbc
OX030909.1	1000000	1100000	gc11-0.5185	#f8fcb4
OX030909.1	1100000	1200000	gc12-0.48355	#fff6b0
OX030909.1	1200000	1300000	gc13-0.50026	#ffffbe
OX030909.1	1300000	1400000	gc14-0.46151	#feeb9d
OX030909.1	1400000	1500000	gc15-0.48014	#fff5ae
OX030909.1	1500000	1600000	gc16-0.48933	#fffab6
OX030909.1	1600000	1700000	gc17-0.47431	#fff2aa
OX030909.1	1700000	1800000	gc18-0.49135	#fffbb8
OX030909.1	1800000	1900000	gc19-0.49987	#fffebe
OX030909.1	1900000	2000000	gc20-0.49526	#fffcba
OX030909.1	2000000	2100000	gc21-0.50121	#ffffbe
OX030909.1	2100000	2200000	gc22-0.47865	#fff3ac
OX030909.1	2200000	2300000	gc23-0.48325	#fff6b0
OX030909.1	2300000	2400000	gc24-0.48483	#fff7b2
OX030909.1	2400000	2500000	gc25-0.49679	#fffdbc
OX030909.1	2500000	2600000	gc26-0.47556	#fff2aa
OX030909.1	2600000	2700000	gc27-0.47562	#fff2aa
OX030909.1	2700000	2800000	gc28-0.48277	#fff6b0
OX030909.1	2800000	2900000	gc29-0.48637	#fff8b4
OX030909.1	2900000	3000000	gc30-0.48041	#fff5ae
OX030909.1	3000000	3100000	gc31-0.46702	#feeda1
OX030909.1	3100000	3200000	gc32-0.47572	#fff2aa
OX030909.1	3200000	3300000	gc33-0.49228	#fffbb8
OX030909.1	3300000	3400000	gc34-0.47249	#fff1a8
OX030909.1	3400000	3500000	gc35-0.48024	#fff5ae
OX030909.1	3500000	3600000	gc36-0.49031	#fffab6
OX030909.1	3600000	3700000	gc37-0.47773	#fff3ac
OX030909.1	3700000	3800000	gc38-0.47825	#fff3ac
OX030909.1	3800000	3900000	gc39-0.483	#fff6b0
OX030909.1	3900000	4000000	gc40-0.47245	#fff1a8
OX030909.1	4000000	4100000	gc41-0.4784	#fff3ac
OX030909.1	4100000	4200000	gc42-0.47216	#fff1a8
OX030909.1	4200000	4300000	gc43-0.49254	#fffbb8
OX030909.1	4300000	4400000	gc44-0.48995	#fffab6
OX030909.1	4400000	4500000	gc45-0.49354	#fffcba
OX030909.1	4500000	4600000	gc46-0.48693467336683416	#fff8b4
OX030909.1	4600000	4700000	gc47-0.50101	#ffffbe
OX030909.1	4700000	4800000	gc48-0.48131	#fff6b0
OX030909.1	4800000	4900000	gc49-0.47084	#fff0a6
OX030909.1	4900000	5000000	gc50-0.49424	#fffcba
OX030909.1	5000000	5100000	gc51-0.50339	#fefebd
OX030909.1	5100000	5200000	gc52-0.46929	#feefa3
OX030909.1	5200000	5300000	gc53-0.47453	#fff2aa
OX030909.1	5300000	5400000	gc54-0.4738	#fff1a8
OX030909.1	5400000	5500000	gc55-0.48755	#fff8b4
OX030909.1	5500000	5600000	gc56-0.50237	#fefebd
OX030909.1	5600000	5700000	gc57-0.48375	#fff7b2
OX030909.1	5700000	5800000	gc58-0.48186	#fff6b0
OX030909.1	5800000	5900000	gc59-0.50395	#fefebd
OX030909.1	5900000	6000000	gc60-0.50941	#fbfdb8
OX030909.1	6000000	6100000	gc61-0.48303	#fff6b0
OX030909.1	6100000	6200000	gc62-0.4833	#fff6b0
OX030909.1	6200000	6300000	gc63-0.469748743718593	#fff0a6
OX030909.1	6300000	6400000	gc64-0.4652	#feeda1
OX030909.1	6400000	6500000	gc65-0.47801	#fff3ac
OX030909.1	6500000	6600000	gc66-0.48297	#fff6b0
OX030909.1	6600000	6700000	gc67-0.46209	#feeb9d
OX030909.1	6700000	6800000	gc68-0.43842	#fede89
OX030909.1	6800000	6900000	gc69-0.49834	#fffebe
OX030909.1	6900000	7000000	gc70-0.47946	#fff5ae
OX030909.1	7000000	7100000	gc71-0.45847	#feea9b
OX030909.1	7100000	7200000	gc72-0.48638	#fff8b4
OX030909.1	7200000	7300000	gc73-0.48968	#fffab6
OX030909.1	7300000	7400000	gc74-0.47694	#fff3ac
OX030909.1	7400000	7500000	gc75-0.46152	#feeb9d
OX030909.1	7500000	7600000	gc76-0.46329	#feec9f
OX030909.1	7600000	7700000	gc77-0.46093	#feeb9d
OX030909.1	7700000	7800000	gc78-0.45398	#fee797
OX030909.1	7800000	7900000	gc79-0.4877	#fff8b4
OX030909.1	7900000	8000000	gc80-0.49365	#fffcba
OX030909.1	8000000	8100000	gc81-0.46919	#feefa3
OX030909.1	8100000	8200000	gc82-0.47733	#fff3ac
OX030909.1	8200000	8300000	gc83-0.4952	#fffcba
OX030909.1	8300000	8400000	gc84-0.46173	#feeb9d
OX030909.1	8400000	8500000	gc85-0.46744	#feefa3
OX030909.1	8500000	8600000	gc86-0.46385	#feec9f
OX030909.1	8600000	8700000	gc87-0.45528	#fee797
OX030909.1	8700000	8800000	gc88-0.48023	#fff5ae
OX030909.1	8800000	8900000	gc89-0.48838	#fffab6
OX030909.1	8900000	9000000	gc90-0.47035	#fff0a6
OX030909.1	9000000	9100000	gc91-0.46155	#feeb9d
OX030909.1	9100000	9200000	gc92-0.46732	#feefa3
OX030909.1	9200000	9300000	gc93-0.47332	#fff1a8
OX030909.1	9300000	9400000	gc94-0.45075	#fee593
OX030909.1	9400000	9500000	gc95-0.47055	#fff0a6
OX030909.1	9500000	9600000	gc96-0.47931	#fff5ae
OX030909.1	9600000	9700000	gc97-0.48884	#fffab6
OX030909.1	9700000	9800000	gc98-0.49128	#fffbb8
OX030909.1	9800000	9900000	gc99-0.48866	#fffab6
OX030909.1	9900000	10000000	gc100-0.49652	#fffdbc
OX030909.1	10000000	10100000	gc101-0.48048	#fff5ae
OX030909.1	10100000	10200000	gc102-0.47939	#fff5ae
OX030909.1	10200000	10300000	gc103-0.48999	#fffab6
OX030909.1	10300000	10400000	gc104-0.46983	#fff0a6
OX030909.1	10400000	10500000	gc105-0.47969	#fff5ae
OX030909.1	10500000	10600000	gc106-0.45316	#fee797
OX030909.1	10600000	10700000	gc107-0.45038	#fee593
OX030909.1	10700000	10800000	gc108-0.46403	#feec9f
OX030909.1	10800000	10900000	gc109-0.43932	#fee08b
OX030909.1	10900000	11000000	gc110-0.4428	#fee18d
OX030909.1	11000000	11100000	gc111-0.44532	#fee28f
OX030909.1	11100000	11200000	gc112-0.46709	#feeda1
OX030909.1	11200000	11300000	gc113-0.47425	#fff2aa
OX030909.1	11300000	11400000	gc114-0.42364	#fed27f
OX030909.1	11400000	11500000	gc115-0.46744	#feefa3
OX030909.1	11500000	11600000	gc116-0.45394	#fee797
OX030909.1	11600000	11700000	gc117-0.46243	#feeb9d
OX030909.1	11700000	11800000	gc118-0.4011	#fdbf6f
OX030909.1	11800000	11900000	gc119-0.42122	#fed07e
OX030909.1	11900000	12000000	gc120-0.45451	#fee797
OX030909.1	12000000	12100000	gc121-0.48063	#fff5ae
OX030909.1	12100000	12200000	gc122-0.46912	#feefa3
OX030909.1	12200000	12300000	gc123-0.46158	#feeb9d
OX030909.1	12300000	12400000	gc124-0.44241	#fee18d
OX030909.1	12400000	12500000	gc125-0.43572	#fedc88
OX030909.1	12500000	12600000	gc126-0.46687	#feeda1
OX030909.1	12600000	12700000	gc127-0.45407	#fee797
OX030909.1	12700000	12800000	gc128-0.42138693467336685	#fed07e
OX030909.1	12800000	12900000	gc129-0.45328	#fee797
OX030909.1	12900000	13000000	gc130-0.41817	#fece7c
OX030909.1	13000000	13100000	gc131-0.45371	#fee797
OX030909.1	13100000	13200000	gc132-0.45423	#fee797
OX030909.1	13200000	13300000	gc133-0.45684	#fee999
OX030909.1	13300000	13400000	gc134-0.4491	#fee593
OX030909.1	13400000	13500000	gc135-0.43133	#fed884
OX030909.1	13500000	13600000	gc136-0.44834	#fee491
OX030909.1	13600000	13700000	gc137-0.46394	#feec9f
OX030909.1	13700000	13800000	gc138-0.45999	#feea9b
OX030909.1	13800000	13900000	gc139-0.47254	#fff1a8
OX030909.1	13900000	14000000	gc140-0.46422	#feec9f
OX030909.1	14000000	14100000	gc141-0.46708	#feeda1
OX030909.1	14100000	14200000	gc142-0.4446532663316583	#fee28f
OX030909.1	14200000	14300000	gc143-0.44213	#fee18d
OX030909.1	14300000	14400000	gc144-0.44881	#fee593
OX030909.1	14400000	14500000	gc145-0.48297	#fff6b0
OX030909.1	14500000	14600000	gc146-0.44947	#fee593
OX030909.1	14600000	14700000	gc147-0.47106	#fff0a6
OX030909.1	14700000	14800000	gc148-0.43463	#fedc88
OX030909.1	14800000	14900000	gc149-0.43638	#fedc88
